FPGA Pin Number, Pin Name,Function,Configuration Function, Connected To;
13,IOR25B/TMS,I/O,TMS,JTAG Connector TMS; 
14,IOR26A/TCK,I/O,TCK,JTAG Connector TCK;
16,IOR26B/TDI,I/O,TDI,JTAG Connector TDI;
18,IOR25A/TDO,I/O,TDO,JTAG Connector TDO;
22,IOR32A/READY,I/O,READY,MCU PIN 13(pull up);
21,IOR32B/DONE,I/O,DONE,MCU PIN 14(pull up);
20,IOR31B/RECONFIG_N,I/O,RECONFIG_N, MCU PIN 15(pull up);
15,IOR39A/SCLK,I/O,SCLK,MCU PIN 16;
23,IOL32A,I/O,None, EEPROM SCL;
24,IOL32B,I/O,None, EEPROM SDA;
90,IOR35B/SI/D2,I/O,SI/D2,NAN;
31,VCCX/VCCIO4/VCCIO6,Power,None,VCC;
55,VCCX/VCCIO4/VCCIO6,Power,None,VCC;
1,VCC/VCCPLLL1,Power,None,VCC;
36,VCC/VCCPLLL1,Power,None,VCC;
73,VCC/VCCPLLL1,Power,None,VCC;
108,VCC/VCCPLLL1,Power,None,VCC;
127,VCCIO0,Power,None,VCC;
109,VCCIO1,Power,None,VCC;
5,VCCIO2/VCCIO7,Power,None,VCC;
19,VCCIO2/VCCIO7,Power,None,VCC;
103,VCCIO2/VCCIO7,Power,None,VCC;
